protein,log2FC,p_value,mean_tumor,mean_normal,q_value,significant
MAP2K5,-0.36712647794779485,0.00012452595529888931,0.00818936363636365,0.3753158415841585,0.00018123567148699456,False
MAP2K6,-1.0287330954095408,3.309015707801918e-13,-0.24500081818181815,0.7837322772277228,7.635451763760481e-13,True
MAP2K7,-0.4701390180018002,6.120624751341314e-11,0.057710090909090905,0.5278491089108911,1.2654858972558846e-10,False
MAP3K1,0.5012105409540953,1.2318164278610695e-06,0.2634428181818182,-0.23776772277227715,2.0214749218431785e-06,True
MAP3K11,-1.1074727443744372,7.019843558292166e-24,-0.27947809090909087,0.8279946534653464,2.720723776185831e-23,True
MAP3K2,0.4476200189018902,3.9143930948099413e-10,0.39813645454545454,-0.049483564356435646,7.747625229744081e-10,False
MAP3K20,-1.5449771458145813,5.52902145351391e-37,-0.47059536363636356,1.0743817821782178,4.188891967876491e-36,True
MAP3K20.1,-2.7428523393339335,3.968293363554022e-54,-0.9693626363636364,1.7734897029702972,8.955396796332552e-53,True
MAP3K3,-1.546282798379838,1.708940123447926e-33,-0.4270208181818182,1.1192619801980197,1.0739659261641805e-32,True
MAP3K4,-0.2371787119711971,0.0006840380659492363,-0.014644454545454528,0.2225342574257426,0.0009436166730565622,False
MAP3K5,-0.4197014932493249,2.2479569910991916e-05,-0.046699909090909104,0.3730015841584158,3.4241259672942206e-05,False
MAP3K6,-0.5951241125112512,2.472078938381514e-11,-0.10195718181818181,0.4931669306930693,5.213978246970821e-11,True
MAP3K8,-1.448534814581458,8.797886397866923e-35,-0.3296926363636363,1.1188421782178217,5.889524793410775e-34,True
MAP4,-0.9305542385238521,2.468417023162821e-22,-0.11946354545454545,0.8110906930693067,8.851806500042182e-22,True
MAP4K1,-0.17951410351035102,0.21425834280645858,-0.023791727272727273,0.15572237623762375,0.23821455164575514,False
MAP4K2,-1.4560592250225022,9.042876703694652e-38,-0.40248536363636356,1.0535738613861387,7.193608417789096e-37,True
MAP4K3,-0.2561673528352835,0.0016662246526005047,0.051439181818181814,0.3076065346534653,0.002231763790335964,False
MAP4K4,-0.522063705670567,0.0034755074952396146,-0.24423063636363634,0.2778330693069307,0.004556055280082033,True
MAP4K5,0.21063055895589555,0.009885970771077727,0.22257372727272723,0.011943168316831685,0.012499533374928208,False
MAP6,-2.414112306930693,1.3592076857232044e-21,-1.1950830000000001,1.219029306930693,4.687498760084432e-21,True
